"Player","nfl_Season","nfl_Tm","nfl_Age","nfl_Pos","nfl_G","nfl_Rushing GS","nfl_Rushing Att","nfl_Rushing Yds","nfl_Rushing TD","nfl_Rushing Lng","nfl_Rushing Y/A","nfl_Rushing Y/G","nfl_Rushing Fmb","nfl_GS","nfl_Tgt","nfl_Rec","nfl_Ctch%","nfl_Yds","nfl_Y/R","nfl_TD","nfl_Lng","nfl_Y/Tgt","nfl_R/G","nfl_Y/G","nfl_Fmb","cfb_Season","cfb_School","cfb_Conf","cfb_Att","cfb_ReceivingAvg","cfb_Senior_G","cfb_Junior_G","cfb_Sophomore_G","cfb_Freshman_G","cfb_RS_Freshman_G","cfb_Senior_Att","cfb_Junior_Att","cfb_Sophomore_Att","cfb_Freshman_Att","cfb_RS_Freshman_Att","cfb_Senior_RushingYds","cfb_Junior_RushingYds","cfb_Sophomore_RushingYds","cfb_Freshman_RushingYds","cfb_RS_Freshman_RushingYds","cfb_Senior_RushingAvg","cfb_Junior_RushingAvg","cfb_Sophomore_RushingAvg","cfb_Freshman_RushingAvg","cfb_RS_Freshman_RushingAvg","cfb_Senior_RushingTD","cfb_Junior_RushingTD","cfb_Sophomore_RushingTD","cfb_Freshman_RushingTD","cfb_RS_Freshman_RushingTD","cfb_Senior_Rec","cfb_Junior_Rec","cfb_Sophomore_Rec","cfb_Freshman_Rec","cfb_RS_Freshman_Rec","cfb_Senior_ReceivingYds","cfb_Junior_ReceivingYds","cfb_Sophomore_ReceivingYds","cfb_Freshman_ReceivingYds","cfb_RS_Freshman_ReceivingYds","cfb_Senior_ReceivingTD","cfb_Junior_ReceivingTD","cfb_Sophomore_ReceivingTD","cfb_Freshman_ReceivingTD","cfb_RS_Freshman_ReceivingTD","cfb_Senior_ScrimmagePlays","cfb_Junior_ScrimmagePlays","cfb_Sophomore_ScrimmagePlays","cfb_Freshman_ScrimmagePlays","cfb_RS_Freshman_ScrimmagePlays","cfb_Senior_ScrimmageYds","cfb_Junior_ScrimmageYds","cfb_Sophomore_ScrimmageYds","cfb_Freshman_ScrimmageYds","cfb_RS_Freshman_ScrimmageYds","cfb_Senior_ScrimmageAvg","cfb_Junior_ScrimmageAvg","cfb_Sophomore_ScrimmageAvg","cfb_Freshman_ScrimmageAvg","cfb_RS_Freshman_ScrimmageAvg","cfb_Senior_ScrimmageTD","cfb_Junior_ScrimmageTD","cfb_Sophomore_ScrimmageTD","cfb_Freshman_ScrimmageTD","cfb_RS_Freshman_ScrimmageTD","combine_Year","combine_Pos","combine_Age","combine_AV","combine_School","combine_College","combine_Height","combine_Wt","combine_40YD","combine_Vertical","combine_BenchReps","combine_Broad Jump","combine_3Cone","combine_Shuttle","combine_Drafted (tm/rnd/yr)"
"C.J. Uzomah",2015,"CIN","22",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.0%","4","4","0","4","4","0.2","0.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Johnson",2014,"DET","29","WR","13",NA,NA,NA,NA,NA,NA,NA,NA,"13","128","71","55.50%","1077","15.2","8","67","8.4","5.5","82.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Calvin Ridley",2018,"ATL","24","wr","16","5","6","27","0","9","4.5","1.7","2","5","92","64","69.60%","821","12.8","10","75","8.9","4","51.3","2",2017,"Alabama","SEC","2","15.3","14","15","15",NA,NA,"2","5","1",NA,NA,"17","21","2",NA,NA,"8.5","4.2","2",NA,NA,"0","1","0",NA,NA,"63","72","89",NA,NA,"967","769","1045",NA,NA,"5","7","7",NA,NA,"65","77","90",NA,NA,"984","790","1047",NA,NA,"15.1","10.3","11.6",NA,NA,"5","8","7",NA,NA,2018,"WR",23,7,"Alabama","College Stats","Jun-00",189,4.43,31,15,110,6.88,4.41,"Atlanta Falcons / 1st / 26th pick /<U+00A0>2018"
"Cam Newton",2014,"CAR","25","QB","14","14","103","539","5","22","5.2","38.5","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Auburn","SEC","264","21.0","14",NA,NA,NA,NA,"264",NA,NA,NA,NA,"1473",NA,NA,NA,NA,"5.6",NA,NA,NA,NA,"20",NA,NA,NA,NA,"2",NA,NA,NA,NA,"42",NA,NA,NA,NA,"1",NA,NA,NA,NA,"266",NA,NA,NA,NA,"1515",NA,NA,NA,NA,"5.7",NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cam Phillips",2018,"BUF","23",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.00%","9","9","0","9","9","0.5","4.5","0",2017,"Virginia Tech","ACC","1","13.6","12","14","13","10",NA,"1","30","1","5",NA,"10","140","24","65",NA,"10","4.7","24","13",NA,"0","0","0","0",NA,"71","76","49","40",NA,"964","983","582","498",NA,"7","5","2","3",NA,"72","106","50","45",NA,"974","1123","606","563",NA,"13.5","10.6","12.1","12.5",NA,"7","5","2","3",NA,2018,"WR",22,0,"Virginia Tech","College Stats","Jun-00",201,NA,NA,NA,NA,NA,NA,NA
"Cameron Artis",2015,"CAR","25",NA,"7","0","45","183","1","31","4.1","26.1","0","0","5","5","100.0%","58","11.6","0","20","11.6","0.7","8.3","0",2014,"Auburn","SEC","303","11.3","13","13",NA,NA,NA,"303","91",NA,NA,NA,"1608","610",NA,NA,NA,"5.3","6.7",NA,NA,NA,"13","6",NA,NA,NA,"13","1",NA,NA,NA,"147","4",NA,NA,NA,"0","0",NA,NA,NA,"316","92",NA,NA,NA,"1755","614",NA,NA,NA,"5.6","6.7",NA,NA,NA,"13","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron Batson",2018,"TEN","23","wr","11","2","1","1","0","1","1","0.1","1","2","11","8","72.70%","82","10.3","0","26","7.5","0.7","7.5","1",2017,"Texas Tech","Big 12","6","8.3","13","12","12",NA,NA,"6","2","1",NA,NA,"38","4","2",NA,NA,"6.3","2","2",NA,NA,"0","0","0",NA,NA,"59","60","29",NA,NA,"487","644","327",NA,NA,"5","8","1",NA,NA,"65","62","30",NA,NA,"525","648","329",NA,NA,"8.1","10.5","11",NA,NA,"5","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron Brate",2014,"TAM","23","te","5",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","100.00%","17","17","0","17","17","0.2","3.4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameron Meredith",2015,"CHI","23",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"0","16","11","68.8%","120","10.9","0","22","7.5","1","10.9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cardale Jones",2016,"BUF","24",NA,"1","0","1","-1","0","-1","-1","-1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"QB",23,0,"Ohio St.","College Stats","5-Jun",253,4.81,36,NA,NA,NA,NA,"Buffalo Bills / 4th / 139th pick /<U+00A0>2016"
