"Player","nfl_Season","nfl_Tm","nfl_Age","nfl_Pos","nfl_G","nfl_Rushing GS","nfl_Rushing Att","nfl_Rushing Yds","nfl_Rushing TD","nfl_Rushing Lng","nfl_Rushing Y/A","nfl_Rushing Y/G","nfl_Rushing Fmb","nfl_GS","nfl_Tgt","nfl_Rec","nfl_Ctch%","nfl_Yds","nfl_Y/R","nfl_TD","nfl_Lng","nfl_Y/Tgt","nfl_R/G","nfl_Y/G","nfl_Fmb","cfb_Season","cfb_School","cfb_Conf","cfb_Att","cfb_ReceivingAvg","cfb_Senior_G","cfb_Junior_G","cfb_Sophomore_G","cfb_Freshman_G","cfb_RS_Freshman_G","cfb_Senior_Att","cfb_Junior_Att","cfb_Sophomore_Att","cfb_Freshman_Att","cfb_RS_Freshman_Att","cfb_Senior_RushingYds","cfb_Junior_RushingYds","cfb_Sophomore_RushingYds","cfb_Freshman_RushingYds","cfb_RS_Freshman_RushingYds","cfb_Senior_RushingAvg","cfb_Junior_RushingAvg","cfb_Sophomore_RushingAvg","cfb_Freshman_RushingAvg","cfb_RS_Freshman_RushingAvg","cfb_Senior_RushingTD","cfb_Junior_RushingTD","cfb_Sophomore_RushingTD","cfb_Freshman_RushingTD","cfb_RS_Freshman_RushingTD","cfb_Senior_Rec","cfb_Junior_Rec","cfb_Sophomore_Rec","cfb_Freshman_Rec","cfb_RS_Freshman_Rec","cfb_Senior_ReceivingYds","cfb_Junior_ReceivingYds","cfb_Sophomore_ReceivingYds","cfb_Freshman_ReceivingYds","cfb_RS_Freshman_ReceivingYds","cfb_Senior_ReceivingTD","cfb_Junior_ReceivingTD","cfb_Sophomore_ReceivingTD","cfb_Freshman_ReceivingTD","cfb_RS_Freshman_ReceivingTD","cfb_Senior_ScrimmagePlays","cfb_Junior_ScrimmagePlays","cfb_Sophomore_ScrimmagePlays","cfb_Freshman_ScrimmagePlays","cfb_RS_Freshman_ScrimmagePlays","cfb_Senior_ScrimmageYds","cfb_Junior_ScrimmageYds","cfb_Sophomore_ScrimmageYds","cfb_Freshman_ScrimmageYds","cfb_RS_Freshman_ScrimmageYds","cfb_Senior_ScrimmageAvg","cfb_Junior_ScrimmageAvg","cfb_Sophomore_ScrimmageAvg","cfb_Freshman_ScrimmageAvg","cfb_RS_Freshman_ScrimmageAvg","cfb_Senior_ScrimmageTD","cfb_Junior_ScrimmageTD","cfb_Sophomore_ScrimmageTD","cfb_Freshman_ScrimmageTD","cfb_RS_Freshman_ScrimmageTD","combine_Year","combine_Pos","combine_Age","combine_AV","combine_School","combine_College","combine_Height","combine_Wt","combine_40YD","combine_Vertical","combine_BenchReps","combine_Broad Jump","combine_3Cone","combine_Shuttle","combine_Drafted (tm/rnd/yr)"
"A.J. Derby",2016,"2TM","25",NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,"3","20","16","80.0%","160","10","0","17","8","1.6","16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. Green",2014,"CIN","26","WR","13","13","2","2","0","5","1","0.2","3","13","117","69","59.00%","1041","15.1","6","81","8.9","5.3","80.1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. Jenkins",2014,"KAN","25","wr","9","2","2","-2","0","0","-1","-0.2","1","2","15","9","60.00%","93","10.3","0","27","6.2","1","10.3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. McCarron",2015,"CIN","25","qb","7","3","14","31","0","16","2.2","4.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"QB",23,3,"Alabama","College Stats","3-Jun",220,4.94,28,NA,99,7.18,4.34,"Cincinnati Bengals / 5th / 164th pick /<U+00A0>2014"
"Aaron Burbridge",2016,"SFO","23","wr","16",NA,NA,NA,NA,NA,NA,NA,NA,"3","16","7","43.8%","88","12.6","0","24","5.5","0.4","5.5","1",2015,"Michigan State","Big Ten","9","14.8","14","13","10",NA,NA,"9","8","1",NA,NA,"44","39","4",NA,NA,"4.9","4.9","4",NA,NA,"0","0","0",NA,NA,"85","29","29",NA,NA,"1258","358","364",NA,NA,"7","1","2",NA,NA,"94","37","30",NA,NA,"1302","397","368",NA,NA,"13.9","10.7","12.3",NA,NA,"7","1","2",NA,NA,2016,"WR",22,1,"Michigan St.","College Stats","Jun-00",206,4.56,30.5,20,115,7.22,4.31,"San Francisco 49ers / 6th / 213th pick /<U+00A0>2016"
"Aaron Dobson",2014,"NWE","23","wr","4",NA,NA,NA,NA,NA,NA,NA,NA,"1","5","3","60.00%","38","12.7","0","16","7.6","0.8","9.5","0",2012,"Marshall","CUSA",NA,"11.9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57",NA,NA,NA,NA,"679",NA,NA,NA,NA,"3",NA,NA,NA,NA,"57",NA,NA,NA,NA,"679",NA,NA,NA,NA,"11.9",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Jones",2017,"GNB","23","rb","12","4","81","448","4","46","5.5","37.3","0","4","18","9","50.0%","22","2.4","0","9","1.2","0.8","1.8","0",2016,"UTEP","CUSA","229","8.3","12","12","9",NA,NA,"229","242","155",NA,NA,"1773","1321","811",NA,NA,"7.7","5.5","5.2",NA,NA,"17","11","4",NA,NA,"28","30","4",NA,NA,"233","293","14",NA,NA,"3","3","0",NA,NA,"257","272","159",NA,NA,"2006","1614","825",NA,NA,"7.8","5.9","5.2",NA,NA,"20","14","4",NA,NA,2017,"RB",22,9,"Texas-El Paso","College Stats","9-May",208,4.56,37.5,16,127,6.82,4.2,"Green Bay Packers / 5th / 182nd pick /<U+00A0>2017"
"Aaron Ripkowski",2015,"GNB","23",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.0%","18","18","0","18","18","0.1","1.2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Rodgers",2014,"GNB","31","QB","16","16","43","269","2","19","6.3","16.8","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ace Sanders",2014,"JAX","23",NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,"0","7","6","85.70%","55","9.2","0","24","7.9","0.5","4.6","2",2012,"South Carolina","SEC","3","11.8","13",NA,NA,NA,NA,"3",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0.3",NA,NA,NA,NA,"0",NA,NA,NA,NA,"45",NA,NA,NA,NA,"531",NA,NA,NA,NA,"9",NA,NA,NA,NA,"48",NA,NA,NA,NA,"532",NA,NA,NA,NA,"11.1",NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Humphries",2015,"TAM","22",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,"0","40","27","67.5%","260","9.6","1","27","6.5","2.1","20","0",2014,"Clemson","ACC","5","6.8","13","12","13",NA,NA,"5","0","3",NA,NA,"5","0","12",NA,NA,"1",NA,"4",NA,NA,"1","0","0",NA,NA,"30","41","41",NA,NA,"204","483","280",NA,NA,"0","2","1",NA,NA,"35","41","44",NA,NA,"209","483","292",NA,NA,"6","11.8","6.6",NA,NA,"1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Shaheen",2017,"CHI","23","te","13",NA,NA,NA,NA,NA,NA,NA,NA,"7","14","12","85.7%","127","10.6","3","31","9.1","0.9","9.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"TE",22,1,"Ashland",NA,"6-Jun",278,4.79,32.5,24,121,7.09,4.38,"Chicago Bears / 2nd / 45th pick /<U+00A0>2017"
"Adam Thielen",2014,"MIN","24","wr","16",NA,NA,NA,NA,NA,NA,NA,NA,"2","13","8","61.50%","137","17.1","1","44","10.5","0.5","8.6","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adoree' Jackson",2017,"TEN","22","CB","16","16","5","55","0","20","11","3.4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian Peterson",2014,"MIN","29","rb","1","1","21","75","0","17","3.6","75","0","1","3","2","66.70%","18","9","0","9","6","2","18","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrien Robinson",2014,"NYG","26","te","16",NA,NA,NA,NA,NA,NA,NA,NA,"1","7","5","71.40%","50","10","1","29","7.1","0.3","3.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahmad Bradshaw",2014,"IND","28","rb","10","1","90","425","2","29","4.7","42.5","3","1","47","38","80.90%","300","7.9","6","22","6.4","3.8","30","3",2017,"Army","Ind","242",NA,"13","12","8",NA,NA,"242","184","131",NA,NA,"1746","824","450",NA,NA,"7.2","4.5","3.4",NA,NA,"14","8","5",NA,NA,"0","1","1",NA,NA,"0","12","25",NA,NA,"0","0","0",NA,NA,"242","185","132",NA,NA,"1746","836","475",NA,NA,"7.2","4.5","3.6",NA,NA,"14","8","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akeem Hunt",2015,"HOU","22","rb","7","1","17","96","0","25","5.6","13.7","0","1","10","6","60.0%","39","6.5","0","27","3.9","0.9","5.6","0",2014,"Purdue","Big Ten","173","6.1","12","12",NA,NA,NA,"173","123",NA,NA,NA,"949","464",NA,NA,NA,"5.5","3.8",NA,NA,NA,"6","1",NA,NA,NA,"48","38",NA,NA,NA,"293","340",NA,NA,NA,"2","2",NA,NA,NA,"221","161",NA,NA,NA,"1242","804",NA,NA,NA,"5.6","5",NA,NA,NA,"8","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akiem Hicks",2018,"CHI","29","DT/ldt","16","16","1","1","1","1","1","0.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alan Cross",2016,"TAM","23",NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"0","10","6","60.0%","38","6.3","1","10","3.8","0.4","2.7","0",2015,"Memphis","American","1","9.2","10","12","12",NA,NA,"1","1","2",NA,NA,"-2","1","0",NA,NA,"-2","1","0",NA,NA,"0","1","0",NA,NA,"25","28","23",NA,NA,"229","373","301",NA,NA,"3","4","5",NA,NA,"26","29","25",NA,NA,"227","374","301",NA,NA,"8.7","12.9","12",NA,NA,"3","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albert Wilson",2014,"KAN","22","wr","12",NA,NA,NA,NA,NA,NA,NA,NA,"2","28","16","57.10%","260","16.3","0","48","9.3","1.3","21.7","0",2013,"Georgia State","Sun Belt","24","16.6","12",NA,NA,NA,NA,"24",NA,NA,NA,NA,"251",NA,NA,NA,NA,"10.5",NA,NA,NA,NA,"1",NA,NA,NA,NA,"71",NA,NA,NA,NA,"1177",NA,NA,NA,NA,"8",NA,NA,NA,NA,"95",NA,NA,NA,NA,"1428",NA,NA,NA,NA,"15",NA,NA,NA,NA,"9",NA,NA,NA,NA,2014,"WR",21,20,"Georgia St.","College Stats","9-May",202,4.43,37.5,10,123,7,4.21,NA
"Aldrick Robinson",2014,"2TM","26",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"1","0.00%","6","6","0","6",NA,"0.1","0.9","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alejandro Villanueva",2018,"PIT","30","T","16",NA,NA,NA,NA,NA,NA,NA,NA,"16","1","1","100.00%","2","2","1","2","2","0.1","0.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Armah",2018,"CAR","24","fb/wr","16","2","9","15","2","4","1.7","0.9","0","2","1","1","100.00%","5","5","0","5","5","0.1","0.3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Collins",2016,"SEA","22",NA,"11","0","31","125","1","26","4","11.4","2","0","11","11","100.0%","84","7.6","0","14","7.6","1","7.6","2",2015,"Arkansas","SEC","271","7.3","13","13","12",NA,NA,"271","204","190",NA,NA,"1577","1100","1026",NA,NA,"5.8","5.4","5.4",NA,NA,"20","12","4",NA,NA,"13","3","11",NA,NA,"95","9","63",NA,NA,"0","0","0",NA,NA,"284","207","201",NA,NA,"1672","1109","1089",NA,NA,"5.9","5.4","5.4",NA,NA,"20","12","4",NA,NA,2016,"RB",21,14,"Arkansas","College Stats","10-May",217,4.59,28.5,18,113,NA,NA,"Seattle Seahawks / 5th / 171st pick /<U+00A0>2016"
"Alex Ellis",2016,"JAX","23","te","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","3","75.0%","11","3.7","0","6","2.8","0.5","1.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Erickson",2016,"CIN","24",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"0","8","6","75.0%","71","11.8","0","20","8.9","0.4","4.4","3",2015,"Wisconsin","Big Ten","7","12.7","13","13",NA,NA,NA,"7","3",NA,NA,NA,"111","1",NA,NA,NA,"15.9","0.3",NA,NA,NA,"0","0",NA,NA,NA,"77","55",NA,NA,NA,"978","772",NA,NA,NA,"3","3",NA,NA,NA,"84","58",NA,NA,NA,"1089","773",NA,NA,NA,"13","13.3",NA,NA,NA,"3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Smith",2014,"KAN","30","QB","15","15","49","254","1","25","5.2","16.9","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfonso Smith",2014,"SFO","27",NA,"6","0","7","19","0","12","2.7","3.2","0","0","4","3","75.00%","11","3.7","0","5","2.8","0.5","1.8","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred Blue",2014,"HOU","23","rb","16","3","169","528","2","46","3.1","33","0","3","18","15","83.30%","113","7.5","1","22","6.3","0.9","7.1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"RB",22,19,"LSU","College Stats","2-Jun",223,4.63,32,13,121,7.15,4.5,"Houston Texans / 6th / 181st pick /<U+00A0>2014"
"Alfred Morris",2014,"WAS","26","RB","16","16","265","1074","8","30","4.1","67.1","2","16","26","17","65.40%","155","9.1","0","26","6","1.1","9.7","2",2011,"Florida Atlantic","Sun Belt","236","9.3","12","12","12",NA,NA,"236","227","263",NA,NA,"1186","928","1392",NA,NA,"5.0","4.1","5.3",NA,NA,"9","7","11",NA,NA,"15","8","7",NA,NA,"139","47","114",NA,NA,"1","1","2",NA,NA,"251","235","270",NA,NA,"1325","975","1506",NA,NA,"5.3","4.1","5.6",NA,NA,"10","8","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen Hurns",2014,"JAX","23","wr","16",NA,NA,NA,NA,NA,NA,NA,NA,"8","97","51","52.60%","677","13.3","6","63","7","3.2","42.3","0",2013,"Miami (FL)","ACC","1","18.7","13","11",NA,NA,NA,"1",NA,NA,NA,NA,"13",NA,NA,NA,NA,"13",NA,NA,NA,NA,"0",NA,NA,NA,NA,"62","28",NA,NA,NA,"1162","314",NA,NA,NA,"6","4",NA,NA,NA,"63","28",NA,NA,NA,"1175","314",NA,NA,NA,"18.7","11.2",NA,NA,NA,"6","4",NA,NA,NA,2014,"WR",22,22,"Miami (FL)","College Stats","1-Jun",198,4.55,31,14,120,7.23,4.5,NA
"Allen Lazard",2018,"GNB","23",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"0","1","1","100.00%","7","7","0","7","7","1","7","0",2017,"Iowa State","Big 12","0","13.3","13","12","11","12",NA,"0","0","0","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,"0","0","0","0",NA,"71","69","56","45",NA,"941","1018","808","593",NA,"10","7","6","3",NA,"71","69","56","45",NA,"941","1018","808","593",NA,"13.3","14.8","14.4","13.2",NA,"10","7","6","3",NA,2018,"WR",22,0,"Iowa St.","College Stats","5-Jun",227,4.55,38,17,122,NA,NA,NA
"Allen Robinson",2014,"JAX","21","WR","10",NA,NA,NA,NA,NA,NA,NA,NA,"8","81","48","59.30%","548","11.4","2","54","6.8","4.8","54.8","0",2013,"Penn State","Big Ten","6","14.8","12","12",NA,NA,NA,"6",NA,NA,NA,NA,"36",NA,NA,NA,NA,"6",NA,NA,NA,NA,"0",NA,NA,NA,NA,"97","77",NA,NA,NA,"1432","1018",NA,NA,NA,"6","11",NA,NA,NA,"103","77",NA,NA,NA,"1468","1018",NA,NA,NA,"14.3","13.2",NA,NA,NA,"6","11",NA,NA,NA,2014,"WR",20,27,"Penn St.","College Stats","3-Jun",220,4.6,39,NA,127,7,4,"Jacksonville Jaguars / 2nd / 61st pick /<U+00A0>2014"
"Alonzo Harris",2015,"GNB","23",NA,"6","0","4","19","0","16","4.8","3.2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Louisiana","Sun Belt","172","5.2","12","13","12","12",NA,"172","199","170","163",NA,"807","942","881","700",NA,"4.7","4.7","5.2","4.3",NA,"12","14","10","8",NA,"6","4","4","15",NA,"31","30","27","146",NA,"0","0","0","1",NA,"178","203","174","178",NA,"838","972","908","846",NA,"4.7","4.8","5.2","4.8",NA,"12","14","10","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alshon Jeffery",2014,"CHI","24","WR","16","16","6","33","0","12","5.5","2.1","1","16","145","85","58.60%","1133","13.3","10","74","7.8","5.3","70.8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alvin Kamara",2017,"NOR","22","fb/rb","16","3","120","728","8","74","6.1","45.5","1","3","100","81","81.0%","826","10.2","5","40","8.3","5.1","51.6","1",2016,"Tennessee","SEC","103","9.8","11","13",NA,NA,NA,"103","107",NA,NA,NA,"596","698",NA,NA,NA,"5.8","6.5",NA,NA,NA,"9","7",NA,NA,NA,"40","34",NA,NA,NA,"392","291",NA,NA,NA,"4","3",NA,NA,NA,"143","141",NA,NA,NA,"988","989",NA,NA,NA,"6.9","7",NA,NA,NA,"13","10",NA,NA,NA,2017,"RB",21,31,"Tennessee","College Stats","10-May",214,4.56,39.5,15,131,NA,NA,"New Orleans Saints / 3rd / 67th pick /<U+00A0>2017"
"Amara Darboh",2017,"SEA","23",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"0","13","8","61.5%","71","8.9","0","16","5.5","0.5","4.4","0",2016,"Michigan","Big Ten","0","15.1","13","13","11",NA,NA,"0","2","0",NA,NA,"0","2","0",NA,NA,NA,"1",NA,NA,NA,"0","0","0",NA,NA,"57","58","36",NA,NA,"862","727","473",NA,NA,"7","5","2",NA,NA,"57","60","36",NA,NA,"862","729","473",NA,NA,"15.1","12.2","13.1",NA,NA,"7","5","2",NA,NA,2017,"WR",23,1,"Michigan","College Stats","2-Jun",214,4.45,36,17,124,NA,NA,"Seattle Seahawks / 3rd / 106th pick /<U+00A0>2017"
